0	0	0	0	1	0	1	7	14	23	36	64	124	182	241	308	361	397	427	459	479	487	493	502	497	495	512	510	499	491	480	471	475	460	437	404	357	297	229	175	128	76	44	28	19	16	11	8	6	4	6
0	0	0	0	1	1	3	8	13	20	33	58	108	162	220	276	332	386	415	444	467	472	481	487	501	508	491	484	478	493	483	472	461	438	424	374	339	272	204	155	111	67	41	23	17	13	10	7	6	5	5
0	0	0	0	1	0	2	4	9	17	32	49	89	147	196	259	310	368	397	416	433	460	478	482	471	498	473	471	483	468	459	461	449	419	397	349	300	241	182	138	91	50	34	32	18	11	8	5	6	5	2
0	0	2	0	0	1	2	3	7	13	26	40	71	122	168	221	280	327	367	403	422	455	459	473	471	478	473	468	468	464	460	442	424	398	357	320	259	200	157	119	74	42	24	20	15	9	4	4	2	0	0
3	0	0	0	0	1	17	5	8	12	18	32	53	96	146	188	238	296	345	381	396	427	455	462	456	458	456	444	454	440	427	410	393	367	318	275	221	169	135	95	52	30	20	11	8	3	0	1	0	0	0
0	0	0	0	0	0	0	0	4	8	15	24	40	74	117	161	200	251	301	341	369	390	424	423	429	438	435	440	426	421	407	376	352	320	278	231	183	143	104	71	41	25	16	9	6	2	0	1	0	0	0
0	0	0	0	0	0	0	0	1	4	10	20	32	51	86	126	158	202	247	290	316	350	374	396	401	399	398	394	387	381	363	337	309	269	226	184	148	115	84	52	30	19	15	9	3	4	3	0	0	0	0
0	0	0	0	0	0	0	0	0	5	8	13	23	38	63	102	130	162	196	240	268	303	313	333	342	351	350	346	340	330	302	280	250	211	177	144	119	91	60	37	25	15	11	7	3	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	2	4	9	18	30	43	66	100	126	155	180	209	234	254	269	290	294	291	292	279	264	246	217	192	164	139	111	92	64	40	26	19	10	8	3	3	2	0	0	0	0	0
0	0	0	0	0	0	0	0	2	3	6	9	12	22	30	43	63	94	113	134	157	181	196	206	220	230	229	221	214	204	183	167	143	123	105	84	62	38	27	20	14	11	8	4	18	2	0	0	0	0	0
