** WARNING! Editing this file can cause it to become unusable with the MapCHECK software.

5.02.00.02
File Revision:	B
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	2-Sep-2011-A.txt
Firmware Version:	10109
Hardware Revision:	D0
Diode Type:	0
Temperature:	21.667, 0, 0
Inclinometer Tilt:	0.000
Inclinometer Rotation:	0.000
Background Threshold:	60

Date:	09/02/11	Time:	13:33:57
Serial No:	6840311

Overrange Error:	0

Cal File:	6MVBoc.cal

Dose per Count:	0.0000000000
Dose Info:	None
Dose IDDC:	0

Time:	36999

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Background
Ycm	ROW	
8.5	50	0.000000000000000	2.173078486967545	2.805976580057308	3.551705796489085	5.023696868591190	7.044931639703548	15.081176751147540	63.039631256555225	94.381328352941210	96.998993105387470	97.303237780774424	98.016742343296286	97.769843793423149	97.781876592490448	97.575519630564401	97.632183960146122	97.311656773016935	97.277067378448507	97.054088940822794	97.181431041116468	96.803003670442024	96.586442022032116	96.713486542463215	96.971883924342563	96.698249809692285	96.592247718660190	96.524958002386285	96.609346537747186	96.447170131669367	96.597720537956903	96.515492066390081	96.561189276742198	96.561056718805645	96.768043220395057	96.667831171868670	96.794979329112991	96.957812156808728	97.526994620932001	97.542964989976014	97.986980246502071	97.667537251317796	97.827927105072177	97.577414034574275	97.521824966287866	96.806458925122556	96.407296966526644	91.387920901775487	30.588713157555755	10.651811288200069	5.862028817907289	4.327963543295664	3.166808137867836	0.000000000000000
8.0	49	1.866281017011219	2.326385929184952	2.831481357337444	3.769318097680133	4.840174418651931	8.607481143517468	14.966961690962222	65.210989555267815	95.149278676850258	96.889874715738387	97.887440640046009	98.258710785914644	98.458716297859368	98.329919541504054	98.329007715880522	98.049186255130778	97.922961857004722	97.721191439620213	97.728125737795921	97.560499855801851	97.421169744902301	97.401988479336566	97.564029660171983	97.451921222529734	97.436436780535331	97.207787358827957	97.168416142220053	97.107673244301850	96.983203356696535	97.093649846079757	97.271309543557791	97.063345697823706	96.996136312121493	97.184663543458413	97.409775127974001	97.435359107806136	97.571721053287192	97.941486769748806	98.255085585175877	98.203377841045011	98.074167339698832	98.095982227806218	98.079120579272470	97.794959349510819	97.230951368974317	95.393580336472169	91.431369890676834	32.546539943284870	9.999101649775781	6.741980700308164	4.259796121179468	3.374627468355202	2.515356323157977
7.5	48	0.000000000000000	2.434702855423599	3.021538844212472	3.853910818242071	5.375637137655552	7.577856824752172	14.906845326713809	67.382347853980406	94.998298428323153	97.523786440669781	98.071676688210431	98.671943862456942	98.664047418398766	98.750077559785879	98.579842250079309	98.312591487491758	98.148772059307944	97.956610785231732	97.913081211675944	97.911272899392699	97.866496408862332	98.036312490239851	97.797109374224235	97.835334525069072	97.632447323366819	97.634048793896241	97.511018801201985	97.669726940543640	97.464577782654885	97.522365946107769	97.429974400634563	97.424747658873329	97.380229804964245	97.564699513343101	97.783814660737335	97.964960920850345	98.085382659262621	98.412145819600170	98.390129335693814	98.497278192803250	98.326976494309164	98.402713887181406	98.342889899563247	98.347940483508623	97.380744869681791	96.504703119710896	91.240895518782196	34.504366729013988	10.528226966908679	6.846996212370120	4.781899548964351	3.556549291215529	0.000000000000000
7.0	47	1.928960546538670	2.471798394015624	2.966060345846772	4.037568242787707	5.230606488976033	8.930036205661843	14.846728962465395	66.366685649974784	94.847318179796048	97.052247177531655	98.203535809668992	98.687055108607254	98.775451953492862	98.846020553275181	98.927692237159079	98.618168524591326	98.402924107503566	98.211959284995160	98.056315424283426	98.061746520280934	98.097230500914506	98.006270319905681	97.752760821416047	97.798000629395176	97.623969193966616	97.704655278850197	97.571883328148019	97.739078455292628	97.683014887271568	97.619816889227650	97.501474453999379	97.542758080609971	97.535335735519070	97.867879384035987	98.195823080781921	98.162388142340561	98.392702843312804	98.335745896841559	98.396007745195959	98.361271860712236	98.333746557553155	98.476124686869085	98.541784648290474	98.216546347570798	97.439384506533358	95.409779473459338	91.050421146887572	35.144623108704039	11.057352284041579	7.455784796189448	4.464256571092284	3.592517185017919	2.608634746144478
6.5	46	0.000000000000000	2.557469828253456	3.197753660619009	4.099695318085950	5.703790582102780	8.064952546453767	16.081494249026854	65.351023445969176	95.197427279531198	97.634348279991798	98.386778958136574	99.097288808810220	98.952314493641580	98.930860462662920	98.839762684517780	98.829466266210886	98.683033946097112	98.431986822961903	98.342879534865745	98.182167256533120	98.160308469544987	98.138777467052336	98.027038085043515	97.979937977128955	97.784077151707748	97.988719799389898	97.894720806786410	98.031688665207284	97.823524522973898	97.772412269531912	97.669194626946350	97.709474474048108	97.832815744375381	98.175659206499859	98.207151442895878	98.096065724417159	98.186844787894046	98.142127179257315	98.203114222956685	98.218054947296594	98.449414516831325	98.626253654451304	98.532993264795749	98.537075751950738	97.598119729324239	96.644609120705525	91.773313480173670	35.784879488394083	10.853283382819679	7.454534117253811	5.096205201361125	3.740628131619384	0.000000000000000
6.0	45	2.083224579383082	2.590079893677762	3.167789150289856	4.211478383586909	5.419907974895370	8.011654301358242	17.316259535588312	65.846017924621123	95.547536379266347	97.383245844998839	98.611942934075287	98.919553472912412	99.005656749600291	98.877960496732015	98.671031772038234	98.733901390372012	99.067758587712092	98.661750485421493	98.701048635684501	98.438223943598118	98.223058653679985	98.204173053231045	98.236676074576721	97.956357701100430	97.543681636345539	97.895840245444191	97.986591434400438	97.937000763149470	97.806982269884813	97.773774479336112	97.693417310205987	97.866412688613721	97.910793561434502	98.205575994207237	98.361057759884574	98.178388962847862	98.116483404588891	98.268085260197324	98.056267020076888	98.321646637781839	98.619602908024234	98.565429235597122	98.426859004490495	98.205233239880528	97.771409538107349	95.786962079328617	92.496205813459767	35.177249818556298	10.649214481597779	7.457320106064631	4.725401985479023	3.780066621120513	2.754789320320575
5.5	44	0.000000000000000	2.551836016784655	3.263534246631719	4.158521091076462	5.792973577827343	7.958356056262717	16.539042240653870	66.341012403273069	95.223156662895661	97.739155786661897	98.443698953033646	98.963325399163878	98.902288942928152	98.904293002626616	98.674241997446700	98.367348935526820	98.610449028267027	98.446207895327447	98.592008272785449	98.646621228494880	98.300429685414741	98.218180017615154	98.175916232702349	98.065135116350518	97.929544283985308	98.064368111640917	97.937907429487353	97.922740683105346	97.776344760194121	97.822286067721720	97.942219759087152	98.151965408766287	98.166531680901500	98.374793449010014	98.233642719268857	98.139948962500853	98.209713927284383	98.757463436866203	98.357742928747655	98.392661675729613	98.482236088388504	98.589001375422455	98.394097188422393	98.085588664973500	97.475656190732309	96.235623845041815	91.886773936192668	34.569620148718514	11.021896916117679	7.000129839927912	5.110053272811547	3.899447047063072	0.000000000000000
5.0	43	2.146132288661629	2.631214946830830	3.175990728375903	4.296963875865306	5.635109189074824	9.482877740131205	15.761824945719431	67.019594733700856	94.898776946524976	97.255002958118027	98.460371692233551	98.744803630863032	98.735880620321836	98.816286400642468	98.754294279595157	98.605813296739626	98.560480694501720	98.508541481806731	98.574155331634941	98.461799132720913	98.113858841868947	98.147456944406457	98.183673722267031	98.125935052609904	98.044992271604229	97.948800544967028	97.777929488802727	97.826249454471878	97.553370020064577	97.861483348861697	98.101210249654642	98.178433927511634	98.228574304395224	98.289308326342891	98.058770705679962	98.132111042483885	97.824959905181558	98.280644596150694	98.224579582317915	98.336156404780141	98.327678394377728	98.384885576964862	98.474939708803134	98.112558704759778	97.810002714806600	95.472210963670705	91.277342058925584	35.445994392842522	11.394579350637580	7.611815601882688	4.815234218776183	3.834569108332646	2.874506860477315
4.5	42	0.000000000000000	2.650900753501131	3.310622000183555	4.218234494934035	6.015699304137367	8.576220769467843	15.333201766562345	67.698177064128643	95.040488381121065	97.921707407051684	98.322124794756178	98.819636811732849	98.810682169990713	98.870677700026249	98.799299710168128	98.741129277334821	98.583587869350879	98.453322005762800	98.511976507187057	98.512561128884869	98.285755525623330	98.074115195874711	98.148844552315524	98.209939100217838	97.944932125543062	97.907912307820240	97.758117700720859	98.050957625914833	97.791626520775395	97.969067058005820	97.995357271117967	98.231985747230354	98.212770345329986	98.495094846286364	98.221376292547774	98.504764596573153	98.114410124805985	98.315575460237085	98.199207119819562	98.399705966695308	98.210370035339508	98.147922829256132	98.192356012430878	98.079703730455847	97.489720973385744	96.565875235908791	91.596571304997440	36.322368636966523	10.961085411693745	7.237318998189074	5.142405983896747	3.749088307014012	0.000000000000000
4.0	41	2.077327540758999	2.643642170811453	3.197362023923151	4.326774411153069	5.633232763072769	9.240300879316152	14.904578587405259	66.520239056121852	95.182199815717155	97.252004710121639	98.086783268006613	98.669345540502263	98.816533547881903	98.811966273136974	98.831097583716314	98.699898706337081	98.579419499804146	98.576783367783193	98.507867562465620	98.483067795989939	98.442486935864764	98.174688628227500	98.127650190902528	97.899018904475398	97.616884822529968	97.478721567216141	97.295671380345624	97.547388737833074	97.593111379116351	97.694895201817062	97.679166029581026	97.906843742843819	97.895426483407988	98.024664171351674	97.826875021651645	98.065281337162844	97.812340537232132	98.014692661470221	97.856967470027911	97.992762379342196	97.966172951028895	98.071423033614138	98.066857781208384	97.908976013563915	97.503302212371722	95.624139685858310	91.915800551069310	34.570641155134709	10.527591472749911	7.459943438010307	4.767982411607720	3.803729690371709	2.831936601565346
3.5	40	0.000000000000000	2.648978365062529	3.366781782900336	4.258268362682323	5.910509583544105	7.847171397318732	16.769373365347668	65.342301048115047	95.106821942280490	97.817328349711104	98.374864238033453	98.954428534387716	98.813854013199361	98.729556260923431	98.734080723262281	98.647948464493027	98.706698486837780	98.766524403100220	98.543561433270227	98.469355556744517	98.300301788776366	98.054502190267996	97.847917607536274	97.641601504251256	97.283107966016843	97.094417758168717	97.008059341378910	97.249814565955518	97.226408001842415	97.538236340565064	97.447180396096527	97.820796711155879	97.733639748094461	97.881260334060698	97.938216538641925	98.117145193194432	97.993359902180060	98.073887178383742	97.931180634704958	97.748203129616684	97.943201741609755	98.104738572963157	98.028558654414212	97.986040330219680	97.292888853676942	96.511580744083417	92.249163462682475	32.818913673302902	11.335677013377904	7.306880869494522	5.193322748543223	3.865911441299757	0.000000000000000
3.0	39	2.249065433921225	2.724383077547929	3.362518379933342	4.435574130692734	5.903365811102597	7.977516817617530	18.634168143290076	63.362133651068525	95.031444068843825	97.252902521549274	98.640916800028393	98.764305334231068	98.754897709604379	98.794315221244815	98.727720583916366	98.716434405457761	98.832901579953727	98.683478719702180	98.430498210770565	98.392441673361574	98.234862472228201	97.991399379906923	97.567916544723332	97.206703796312695	96.779527779117444	96.582178096490537	96.392333661045768	96.467705359219636	96.524469721732714	96.736221419993427	96.750522503084156	97.119504307792852	97.337075463753280	97.710742701444701	97.927585605660937	97.947028373822008	97.970066699909950	98.005355964113278	98.045664760791468	97.983133682469969	97.953692312830285	98.032194185022291	97.956597933265641	97.691554122500420	97.170632128032935	95.684969832929795	92.582526374295654	31.434902127724357	12.143762554005896	7.803318201042987	4.832516271770893	3.841450756999501	2.960509946306388
2.5	38	0.000000000000000	2.636970131274620	3.392709537802039	4.218143969052675	6.052194144434440	8.107862237916327	18.168993075388325	61.381966254022004	95.150052949348463	97.521920867613787	98.244361199881297	98.706978292903798	98.793226483568048	98.965086330535073	98.780000365409109	98.657166993467939	98.731481751806939	98.703990684984191	98.474610501313038	98.435050453703028	98.274300239986232	98.108316312408164	97.416673063723792	96.837769357158763	96.358791892528245	96.062433187630205	95.795228070349140	95.704203488144529	95.811033251738053	96.131657114591746	96.223773564701133	96.569622553178078	97.015536801279907	97.697049402303890	97.785956327046335	97.773315996522712	97.844935646388564	97.931805217367966	98.021014073193271	98.184974526641440	98.026373089589598	98.113747921030082	97.975367292390274	97.652946098483440	97.285153492073576	96.475140085307189	92.436873904278983	30.050890582145811	11.858669338060446	6.930113108900635	5.122305236728515	3.706865368620966	0.000000000000000
2.0	37	2.129035736336569	2.695406135437638	3.353205670947520	4.431265730436592	5.979404559666158	7.903426928591658	17.703818007486575	62.497051772378121	95.268661829853102	97.116383131350915	98.107628838979210	98.598529784447123	98.745943601228973	98.877784998075356	98.770027553717057	98.720429148582738	98.731867748821927	98.559626002358399	98.328902655794394	98.428536105243722	98.318971721605550	97.817778757055336	97.152690040604895	96.442527349050621	95.755437246206597	95.506768513684747	95.021941944576056	95.069061811712672	94.883802682483235	95.305161557456287	95.443292087950582	96.065154473643702	96.458399785884382	97.284085449941514	97.745874303697832	97.730331031025884	97.704554671753641	97.905138642859953	97.921611787972211	98.048845319121327	97.853077597856597	98.124665787430047	98.178177216781947	98.018073073694012	97.841895656470726	95.646142424760910	92.291221434262312	33.847408248963205	11.573576122114996	7.898605467478919	5.019726197621567	3.960046312117786	2.917972150742060
1.5	36	0.000000000000000	2.662413003191844	3.434651488921496	4.174308722080013	6.040073405324340	7.698991619266990	18.282315535962233	63.612137290734239	95.292947331609270	97.567320988957533	98.270075404247450	98.833568404676527	98.891126002622755	99.030082506820293	98.900724965142828	98.722654298324045	98.642574518319762	98.473742919833072	98.508437888071427	98.631219589871890	98.081894573728903	97.691136953602722	96.862447096166747	96.024212752232245	95.472317592363595	95.187261676326131	94.844076881065192	94.666299131646880	94.656934447913443	94.761894344799600	95.214879705327789	95.789303467561780	96.383811078873507	97.235018307879969	97.437489040312542	97.697579152129364	97.778678538535914	98.062582894345979	98.019082898772638	98.235717364015059	98.172718549538246	98.353660414051546	98.317345891681271	98.399273323039935	97.454593546473944	95.976312523003401	92.804135733242077	37.643925915780592	11.557970321228449	8.071006441278481	5.568448712228546	4.195621531486551	0.000000000000000
1.0	35	2.353255635045870	2.798329639114181	3.548678559466605	4.554642006605527	6.307588720284198	7.664414990246184	18.860813064437892	63.701283863554913	95.317232833365438	97.278355118673687	98.571783384376559	98.806681237793342	98.954909497765229	99.090692849264343	99.080135501709933	98.854419616981303	98.642033106300005	98.634508606508476	98.599886386786338	98.372627849558356	97.686250029835435	97.292060625704963	96.581748638227126	95.688748782454013	94.922358694689436	94.774175158953014	94.500804771711685	94.461160808114528	94.315741632724084	94.624159307817735	94.865028920999180	95.496929194702020	96.052522754167882	96.755540066862551	97.071484397543017	97.567512502020719	97.649997435914656	97.881215381983552	97.856419548757316	98.078970448052814	98.248418822229780	98.298629250039880	98.338272612851654	98.095242522989523	97.600892683381687	95.928938207235205	93.317050032221857	37.586948504282162	11.542364520341904	8.054421704399894	4.987440678527589	4.053823187931320	2.947151222078232
0.5	34	0.000000000000000	2.628971358752405	3.409527508729104	4.187992024591290	5.987935915418299	7.629838361225380	17.148964841721778	63.790430436375587	95.140163725749758	97.657083267995233	98.368816085547735	98.866463664355038	98.995389536504206	99.297643890761947	99.060687106029718	98.972855561591246	98.810350997128666	98.822372013114489	98.723098701181470	98.573155391739775	97.879252017478819	97.209106881154568	96.318867370294257	95.226675044667232	94.806018067798576	94.486275493084818	94.453508420344576	94.361797696375476	94.430999846263347	94.553972332748103	94.850488706793442	95.280861636079251	95.876938546242485	96.663134807859350	97.225913648293712	97.850989022495853	97.852652480304101	97.955861648916240	97.941490803948753	97.975326057209074	98.200773616973237	98.254165151026569	98.242481941780483	98.042531472684800	97.539999205563760	96.821497590333891	92.757644127725072	37.529971092783732	11.860255431493227	7.616875177451603	5.402787634599862	4.085079319632909	0.000000000000000
0.0	33	2.175898985449302	2.681566567638057	3.272468092106115	4.358952111306209	5.826324555572327	9.115552476150508	15.437116619005664	63.727981050662450	94.963094618134079	97.260355745246329	98.379934025464124	98.776994278240068	98.862541093134624	98.998150992468297	98.892113470055747	98.975407594159037	98.804143307508895	98.947896761483591	98.896981013085266	98.518216335322180	98.048495767185528	97.309805793113611	96.257938917128087	95.384026368808463	94.588763038752816	94.526036193742044	94.465155720206312	94.460586056942631	94.492487723205755	94.572336295912720	94.702091937347205	95.183178785229472	95.511234986863457	96.511812366824557	97.318046365276629	97.817808533355105	97.953761813889656	97.990557783922384	97.978355960912367	98.204446528010763	98.325184437427552	98.312764531148332	98.334958530558922	98.099604730640294	97.695075075854689	95.898613738172628	92.198238223228287	36.678670547443005	12.178146342644551	8.023035591296725	4.921755362787345	3.969845025754601	3.014551737644909
-0.5	32	0.000000000000000	2.648927834244405	3.368720417583011	4.149023772955102	5.870420216779888	7.568930368798666	17.504122454519951	63.665531664949306	95.293503080017189	98.041311069391881	98.475309072030711	98.999038330006456	98.964858938809385	98.940305515920855	99.054683219464039	99.232518037480247	99.042369466384500	99.268090712225700	98.979738550364459	98.554233169278163	98.145799035481815	97.723681606986233	96.536095498183357	95.462728474685704	94.945327560532064	94.563950522924259	94.605923007764886	94.522903087982968	94.490702971261911	94.540793190349845	94.777783257744744	95.238526580627990	95.855285181918362	96.554833307298807	97.314137830135380	98.148436931758269	98.027938250201530	98.074251711971272	98.209322062523398	98.538919656494045	98.373174856005221	98.336750005580285	98.387665648447225	98.325853843462795	97.645865431269371	96.879644063273616	92.379486806684852	35.827370002102285	12.319322640474830	7.375365482303406	5.278185712236874	3.857993682953243	0.000000000000000
-1.0	31	2.272459103794515	2.761059802141950	3.404461971026425	4.440518189715847	5.937402169793453	7.712540486728020	19.571128290034238	65.128037016942216	95.623911541900313	97.489886756414876	98.480952863260399	98.907302819116410	99.057550816175620	99.084473053120220	99.153795854399291	99.070185058954181	98.864725808323158	99.119378293243628	99.199649306868722	98.778537823480860	98.256785598477308	97.591216405565291	96.700032993933405	95.934940731728943	95.165868205765463	94.976335451973881	94.871682699945993	94.750634790216694	94.406627883509060	94.574185233392427	94.629721322653936	95.445823016014913	96.116545852883192	96.747077215690084	97.235234716207813	97.823006818311967	97.935302543186907	98.162519975384470	98.245760920715881	98.313544241709195	98.291845324519016	98.485945374562263	98.553100214186884	98.215899058588775	97.682888742486398	95.939897272233097	92.560735390141417	33.197379454571198	12.460498938305111	7.868341969406388	4.957628320903503	3.901376257841681	2.991149451010701
-1.5	30	0.000000000000000	2.718390299502454	3.383384068149124	4.271184845088407	5.919583570598184	7.856150604657373	17.236272601627224	66.590542368935132	95.671688919313610	97.813371551106883	98.492243757076437	99.091669267023164	99.116183111855435	99.186240025985128	99.193471019166893	99.029700535614012	99.036130265170797	99.145047345556947	99.116227054651205	99.103483219299221	98.341512280494044	97.684365422864218	97.021109136733628	96.411133252531229	95.759797273143363	95.303840379259810	95.252575984731095	95.201325489428768	94.926626701807933	94.719598537056854	95.159618274505533	95.798498307894533	96.465701867789718	97.081694986370536	97.459034018347921	97.973053082094864	98.157647522055669	98.394764725663805	98.220746074317560	98.177651065107867	98.435281443021225	98.762085953962881	98.551835703577979	98.301753434219009	97.552847206605065	96.636320893030941	92.506417471688593	30.567388907040108	12.584568216556441	6.679875136113534	5.076890422537594	3.798733576499278	0.000000000000000
-2.0	29	2.148430574356937	2.657996553227230	3.139499156979209	4.269725811226746	5.613596662853502	8.965381498855500	14.901416913220210	67.304704881040436	95.719466296726907	97.508944565939288	98.582981346915304	99.066865204857763	99.129272338237797	99.290678214246412	99.404147660669153	99.211491876753385	99.105047371189059	99.118369153929123	99.016728346879916	98.759202600643988	98.321414881335443	97.889462004676147	97.288904877605688	96.802326861112931	96.158347255016949	95.920322578059853	95.633455370289781	95.553051591070314	95.378954897237065	95.404831806647167	95.490654930416838	96.114315779146722	96.866068324010627	97.325898281910554	97.546153288718457	98.043271724215984	98.327469737277127	98.305642283254372	98.064807585782674	98.312072168060325	98.509543428495135	98.552254194484021	98.590403211943112	98.208722497650939	97.590425756683914	95.869521134140882	92.452099553235755	32.513509935752232	12.708637494807771	7.770622401339859	4.871324656634060	3.844338137906097	3.000280973756253
-2.5	28	0.000000000000000	2.625666182070320	3.249862064324750	4.054622579985868	5.635657241248887	7.490361814690917	14.465008534063667	68.018867393145740	95.707027788867904	97.919959069008087	98.726567421715728	99.463537867254786	99.346239184961021	99.443052832093599	99.450173173522259	99.307071939541302	99.303157495476754	99.206653552090572	98.927361527018277	98.595183955061344	98.488785192985887	98.263162836899241	97.820537305395632	97.350922059297829	96.972206784971064	96.585647307672858	96.254332090002350	95.998470607325658	96.010494029993367	96.030118861877924	96.156363325373164	96.302041554264889	97.187753028987643	97.809676528542596	97.917071867315371	98.326410788773472	98.262011114813191	98.435527084293909	98.379289828184994	98.496286592855654	98.492550867929879	98.346984183534985	98.405218767962737	98.352307587757721	97.702263453348621	96.799238333612919	92.955032964982578	34.459630964464360	12.878519791297141	6.822652317804073	5.076060617108699	3.707013344734794	0.000000000000000
-3.0	27	2.093597696181166	2.624440495383684	3.179660338263604	4.181948529685676	5.384047907465261	8.728762623626620	14.028600154907126	67.669370391650546	95.694589281008902	97.723250230591475	98.939791403684737	99.281896474581075	99.349093702257917	99.561216973769746	99.646420261784982	99.448194531385028	99.593857119086067	99.162249967541968	98.890880254041278	98.809364822405342	98.775379098647520	98.508712186391676	98.379159447779756	98.007161657179324	97.793910517896634	97.198032284882757	96.799755074721091	96.632781706479392	96.634431753532823	96.657098159984059	96.802637954932990	97.214779239287182	97.773225709132447	97.958151909447693	97.986046863226960	98.140017649882168	97.958636848908256	98.326095450040214	98.520538049807712	98.560326483128065	98.617389266833712	98.440355647075435	98.331180088615156	98.322910060899602	98.067082135339902	96.361602034586085	93.457966376729402	34.026074845672994	13.048402087786510	7.874554691724288	4.903252149261870	3.801758243765849	2.967791881454538
-3.5	26	0.000000000000000	2.598837765019647	3.258637878784313	4.109463293027972	5.655638455323364	8.012040617443178	14.507486498601981	67.319873390155337	95.845388965696714	98.338661168664146	98.915766131610440	99.375162925126844	99.577256532743164	99.806301098942470	99.545425766847416	99.245428805127759	99.208031571463792	98.957608944949939	98.875670972786878	98.976015981871257	98.796935373061615	98.617147362240203	98.562900779547320	98.504654603743077	97.975003929488935	97.612816239240431	97.319266356705370	97.098469390338025	97.160907459560079	97.161204069592486	97.445562941548474	97.981211738818416	98.048215473004547	98.263658536888769	98.164782108796970	98.288976098619997	98.246203199591960	98.389679817150977	98.506746480110735	98.607092023015170	98.572243877550221	98.465869049317888	98.561889177472779	98.541070431885601	97.984875122285572	97.122121292662129	93.223385191233689	33.592518726881629	12.407881810657134	6.723912212044700	4.993977424551238	3.628975599612194	0.000000000000000
-4.0	25	2.072795932662381	2.591821006045631	3.146590118826030	4.110532285682523	5.117002003357044	9.032001430162346	14.986372842296838	65.107494641753632	95.996188650384539	98.006047297195963	99.009449028966003	99.506557116242590	99.778468404645437	99.729505097803610	99.483552901534424	99.206669096826360	99.035231416691403	98.918776641615878	98.678178710285053	98.873459822772276	98.819199049487494	98.732604480040308	98.750641704426258	98.481215075763259	97.988634357075583	97.848708065054652	97.766024722521948	97.655212064042047	97.749524624776981	97.658546676296780	97.837198002849988	98.020837125328200	98.174765907178568	98.261388361215438	98.120446936452183	98.305358407868908	98.347520033688610	98.471828309932121	98.509676030469080	98.563528734260657	98.598625171034115	98.709082404478764	98.909437140072441	98.664863584106627	98.209226629254658	96.289062360807421	92.988804005737961	33.523471361619201	11.767361533527760	7.484071662806748	4.719769737286186	3.729778317520950	2.873919742113598
-4.5	24	0.000000000000000	2.549060207674465	3.193932259253398	4.069073727519046	5.600772944980296	8.012590257552327	14.747448653632205	62.895115893351935	95.801677554715951	98.679890340769177	99.260027574825386	99.863148106232089	99.843380700265314	99.849697986092096	99.384556460442411	99.062463263951841	99.014868420819155	99.004087494537131	98.938303430214788	99.020445549445299	98.880291492576703	98.743429804007292	98.722737314034021	98.680929637808120	98.222702123827517	98.027356941380660	97.925143509529136	98.006829518531219	97.904740098806570	97.886260007967650	98.011218399063480	98.090172852465841	98.313070983364724	98.486682064342261	98.332985004281909	98.464490562714843	98.430452041162198	98.640437358419817	98.541450185991820	98.538721712524264	98.666427664463185	98.862398257490625	98.887249458788830	98.999720135213835	98.044262060911535	96.836097515574920	93.237213791490035	33.454423996356780	11.674018318860330	6.725243168368347	4.968189146546143	3.696448191071820	0.000000000000000
-5.0	23	2.067915002254169	2.531996386706779	3.011004982994048	4.076853197637098	5.204425791492768	8.890874065113291	14.508524464967573	65.254874742205857	95.607166459047377	98.099716487079775	99.487622823334306	99.808244808414500	99.882208304091620	99.555848076839240	99.142511690191284	99.108484720190191	98.957691508096246	99.074654946140157	99.050501966591682	98.958838945464208	98.938091567366754	98.796022924696047	98.715948109894427	98.434820750335803	98.193887559045720	98.079486160181816	97.900362855682729	97.930701648078241	97.976346243950417	98.124906019406822	98.231242732970429	98.262700330189460	98.500663109472228	98.388025004231736	98.260320453618377	98.381969820907841	98.269360209825550	98.471612059316868	98.476965642554106	98.603198875311776	98.665965516803752	98.762161905108698	98.777442302378418	98.595432172506179	98.132003963602756	96.416741780521107	93.485623577242109	34.770075408157552	11.580675104192899	7.378644844360535	4.731295489458218	3.709013577122000	2.839540364489089
-5.5	22	0.000000000000000	2.500005353904433	3.105684092209187	4.022908288542530	5.588206058133903	7.837955746440497	14.060370047281072	67.614633591059771	95.704381244779256	98.624186325168225	99.386046667673980	100.000000000000000	99.627397147125137	99.348974326981960	99.237373491100541	99.271272418521406	99.201143983945627	99.286338815335554	99.010917029411203	98.826316698453098	98.776877434353565	98.786622217515685	98.436637201991502	98.148517694594915	98.157936572812986	98.196337284618167	98.016058294281734	97.839267974148598	98.089042161537193	98.405775092738779	98.342806085123271	98.228722625849315	98.380492005437986	98.304434389494105	98.302368336654908	98.533708057472609	98.424537605526154	98.499685026468015	98.623279279339869	98.731142629364996	98.741569829068879	98.742841543761983	98.687368677579713	98.472562288829693	98.057418640772184	97.213242065664673	93.647090637572774	36.085726819958325	11.874139416068932	6.477365615422674	4.844289976121491	3.568770263468874	0.000000000000000
-6.0	21	1.986085112906980	2.444436737110651	2.888817743395736	4.006983057110127	5.287534406059818	8.638099510556085	13.612215629594573	66.558514430096210	95.801596030511121	98.093647571780039	99.432377522193377	99.595274278152317	99.278405957426983	99.296484107790391	99.186735528707530	99.298181381338992	99.289273193829331	99.204960548241914	98.880510637264464	98.761792908116448	98.556479254078752	98.478895251368684	98.095460785960981	98.132770110308911	98.093003752993113	98.143126088959022	98.128265062677443	98.069067478006332	98.134779335310967	98.379621167725318	98.505483888934563	98.332847907330247	98.488147896936312	98.282423934496677	98.111010446034541	98.402698398167303	98.395397128338459	98.544937042336755	98.785323818972358	98.750677826393542	98.826329626344801	98.784034521194656	98.756628575348742	98.600918848175638	98.411866244991629	96.674745674412648	93.808557697903453	34.110550103316484	12.167603727944963	7.403855461637168	4.599728536136197	3.562418591515934	2.691420489844183
-6.5	20	0.000000000000000	2.402838738235455	2.994754270253926	3.828671790442427	5.452065045634042	7.814692260129456	14.359507175542229	65.502395269132663	95.965948824559149	98.516430409247434	99.151372675203660	99.670313632988908	99.365089465529238	99.371820618045092	99.346263302159286	99.445444384297701	99.396666570847998	99.363719546538320	98.962915005586467	98.783865042669476	98.507756081398554	98.477018747919331	98.197522032567136	98.194098207686608	98.069018963416781	98.154898255547380	98.115894745942569	98.173957539888292	98.230963002364888	98.472446353916979	98.204592252480182	98.109037217600786	98.246534943051074	98.226103005521765	98.300602756105690	98.570677960823616	98.398615235441525	98.499342195568204	98.570479442965905	98.659915230891983	98.742122944521725	98.810338339323067	98.740617340234280	98.762618283532518	98.168976640462120	97.265316689090824	93.544058803251403	32.135373386674651	11.467924630097496	6.370723967044839	4.657331934116284	3.389755076614483	0.000000000000000
