** WARNING! Editing this file can cause it to become unusable with the MapCHECK software.

5.02.00.02
File Revision:	B
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	2-Sep-2011-A.txt
Firmware Version:	10109
Hardware Revision:	D0
Diode Type:	0
Temperature:	21.667, 0, 0
Inclinometer Tilt:	0.000
Inclinometer Rotation:	0.000
Background Threshold:	60

Date:	09/02/11	Time:	13:33:57
Serial No:	6840311

Overrange Error:	0

Cal File:	6MVBoc.cal

Dose per Count:	0.0000000000
Dose Info:	None
Dose IDDC:	0

Time:	36999

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Background
Ycm	ROW	
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.044427073154843	0.000000000000000	1.707152628493258	0.000000000000000	1.495993746335744	0.000000000000000	2.490391505439385	0.000000000000000	2.034004299394176	0.000000000000000	2.662595270666406	0.000000000000000	1.888802032440883	0.000000000000000	2.488502377695264	0.000000000000000	2.415477819034590	0.000000000000000	2.046479056738975	0.000000000000000	1.595628949254120	0.000000000000000	1.653931339977852	0.000000000000000	2.472216793694222	0.000000000000000	2.045795062210931	0.000000000000000	1.246205458927757	0.000000000000000	1.656862745098039	0.000000000000000	1.844537815126051	0.000000000000000	2.419712070874862	0.000000000000000	1.289492541202528	0.000000000000000	1.804116995635463	0.000000000000000	1.872516448439841	0.000000000000000	2.388899745944890	0.000000000000000	2.395511693049313	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.478568171454628	0.000000000000000	2.416259527066641	0.000000000000000	2.188228779884047	0.000000000000000	1.974138492606345	0.000000000000000	2.586671878053547	0.000000000000000	2.364373656439320	0.000000000000000	1.888443749592860	0.000000000000000	2.416129242394632	0.000000000000000	2.021008403361344	0.000000000000000	2.045176210018891	0.000000000000000	2.673897465963130	0.000000000000000	2.301511302195297	0.000000000000000	2.554198423555469	0.000000000000000	2.608331704774933	0.000000000000000	1.914598397498534	0.000000000000000	2.286984561266367	0.000000000000000	2.161064425770308	0.000000000000000	1.810533515731874	0.000000000000000	2.402644778841769	0.000000000000000	2.097876359846264	0.000000000000000	1.597420363494235	0.000000000000000	2.046348772066966	0.000000000000000	2.223763924174321	0.000000000000000	2.478112175102599	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.311706077779949	0.000000000000000	2.387075760536773	0.000000000000000	1.713145723405641	0.000000000000000	2.297049052179011	0.000000000000000	2.906488176666015	0.000000000000000	1.893068855449156	0.000000000000000	1.629665819816299	0.000000000000000	2.399713373721581	0.000000000000000	2.121001889127744	0.000000000000000	1.639241743208911	0.000000000000000	2.415445247866589	0.000000000000000	2.430102273467527	0.000000000000000	1.631424662888411	0.000000000000000	1.906032180313986	0.000000000000000	1.456550061885219	0.000000000000000	2.190769330988209	0.000000000000000	1.891244870041040	0.000000000000000	1.874829001367989	0.000000000000000	2.421731483290991	0.000000000000000	2.114813367207348	0.000000000000000	2.022832388769461	0.000000000000000	2.251872842160120	0.000000000000000	1.500227998176014	0.000000000000000	1.919093218682822	0.000000000000000	2.122402449351834	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	2.327698521268973	0.000000000000000	2.369324473975637	0.000000000000000	2.153247345449808	0.000000000000000	1.914956680346557	0.000000000000000	2.034297439906195	0.000000000000000	1.810435802227868	0.000000000000000	1.939124487004104	0.000000000000000	2.271676112305387	0.000000000000000	2.040876815842616	0.000000000000000	2.154647905673897	0.000000000000000	1.911927561722363	0.000000000000000	2.579473649925086	0.000000000000000	2.376946127288125	0.000000000000000	2.605660868998762	0.000000000000000	2.084489609797407	0.000000000000000	2.379910103576314	0.000000000000000	2.353364601654615	0.000000000000000	2.440525047228193	0.000000000000000	2.483453846654941	0.000000000000000	2.121034460295746	0.000000000000000	1.734772978959025	0.000000000000000	2.016415868673051	0.000000000000000	2.153833626473845	0.000000000000000	2.008435932512540	0.000000000000000	2.004462250016286	0.000000000000000	2.415477819034590	0.000000000000000
9.0	51	2.530291186241939	0.000000000000000	1.751742557488112	0.000000000000000	2.486971532799166	0.000000000000000	1.857110285974855	0.000000000000000	2.801153019347274	0.000000000000000	2.349130349814344	0.000000000000000	1.777376066705752	0.000000000000000	2.480196729854732	0.000000000000000	2.700833821900853	0.000000000000000	1.996970881375806	0.000000000000000	2.451273532668881	0.000000000000000	1.629177252296267	0.000000000000000	3.121295029639763	0.000000000000000	1.651749071721712	0.000000000000000	1.606279721190802	0.000000000000000	2.188847632076086	0.000000000000000	2.506253664256400	0.000000000000000	1.914826395674549	0.000000000000000	2.003550257312227	0.000000000000000	2.921405771610970	0.000000000000000	2.246400885935770	0.000000000000000	2.204090938701062	0.000000000000000	1.987394957983193	0.000000000000000	1.784639437170217	0.000000000000000	2.493550908735587	0.000000000000000	1.792033092306690	0.000000000000000	1.479447592990685
8.5	50	0.000000000000000	2.307699824115693	0.000000000000000	2.885805484984691	0.000000000000000	2.502475408768158	0.000000000000000	2.411145853690313	0.000000000000000	1.807699824115693	0.000000000000000	2.301674158035307	0.000000000000000	1.908800729594163	0.000000000000000	2.126473845352094	0.000000000000000	2.025144941697609	0.000000000000000	3.200410396716826	0.000000000000000	1.553221288515406	0.000000000000000	1.538336264738454	0.000000000000000	2.000390854016025	0.000000000000000	2.540713960002606	0.000000000000000	1.935118233339848	0.000000000000000	1.630773239528369	0.000000000000000	1.614389942023321	0.000000000000000	2.420200638394893	0.000000000000000	1.725718194254446	0.000000000000000	2.139632597224936	0.000000000000000	2.479610448830695	0.000000000000000	2.130675526024363	0.000000000000000	1.988469806527262	0.000000000000000	2.969708813758061	0.000000000000000	2.165591818122598	0.000000000000000	2.663930688554492	0.000000000000000
8.0	49	1.744316331183636	0.000000000000000	2.465116279069767	0.000000000000000	2.590710702885806	0.000000000000000	1.704840075565110	0.000000000000000	1.765878444401016	0.000000000000000	2.644778841769266	0.000000000000000	2.660738714090287	0.000000000000000	1.771741254641392	0.000000000000000	1.993746335743600	0.000000000000000	2.764999022864960	0.000000000000000	2.483974985342974	0.000000000000000	2.291218813106638	0.000000000000000	2.535860855970295	0.000000000000000	1.539476255618526	0.000000000000000	1.891277441209042	0.000000000000000	2.611947104423165	0.000000000000000	1.540095107810566	0.000000000000000	1.776626929841704	0.000000000000000	2.936779362907954	0.000000000000000	2.152270210409745	0.000000000000000	1.570940003908540	0.000000000000000	2.280209758321933	0.000000000000000	2.085987883525503	0.000000000000000	1.725685623086444	0.000000000000000	2.253892254576249	0.000000000000000	1.717966256269950	0.000000000000000	2.026643215425705
7.5	48	0.000000000000000	2.938603348316071	0.000000000000000	1.845938375350140	0.000000000000000	2.271382971793368	0.000000000000000	2.270177838577291	0.000000000000000	2.302097583219334	0.000000000000000	2.750244283760016	0.000000000000000	2.121295029639763	0.000000000000000	1.634453781512605	0.000000000000000	1.149925086313595	0.000000000000000	2.100514624454433	0.000000000000000	1.690541332812195	0.000000000000000	2.891928864569083	0.000000000000000	2.183212820011726	0.000000000000000	2.922578333659045	0.000000000000000	2.079506221093089	0.000000000000000	1.912513842746401	0.000000000000000	2.321737997524591	0.000000000000000	2.042179662562699	0.000000000000000	2.197446420428637	0.000000000000000	1.548009901635073	0.000000000000000	2.939157058172106	0.000000000000000	1.956159207869194	0.000000000000000	2.146505113673376	0.000000000000000	1.783857729138167	0.000000000000000	1.898247671161488	0.000000000000000	2.394990554361280	0.000000000000000
7.0	47	1.778744055761840	0.000000000000000	1.987264673311185	0.000000000000000	2.574783401732786	0.000000000000000	1.957983193277311	0.000000000000000	1.837469871669598	0.000000000000000	2.537749983714416	0.000000000000000	1.740310077519380	0.000000000000000	1.103185460230604	0.000000000000000	2.416878379258680	0.000000000000000	2.929515992443489	0.000000000000000	1.582698195557293	0.000000000000000	1.644159989577226	0.000000000000000	1.411341280698326	0.000000000000000	2.110220832519054	0.000000000000000	2.510813627776692	0.000000000000000	1.858185134518924	0.000000000000000	2.355156015894730	0.000000000000000	2.901179076281676	0.000000000000000	1.712070874861573	0.000000000000000	1.605172301478731	0.000000000000000	1.966321412285845	0.000000000000000	1.632629796104488	0.000000000000000	1.779069767441861	0.000000000000000	1.866946778711485	0.000000000000000	2.484300697022995	0.000000000000000	2.514689596768940	0.000000000000000	1.972933359390268
6.5	46	0.000000000000000	3.006579375936421	0.000000000000000	2.554426421731483	0.000000000000000	2.953586085597030	0.000000000000000	1.902970490521790	0.000000000000000	2.185036805419843	0.000000000000000	1.510813627776692	0.000000000000000	2.225620480750440	0.000000000000000	2.221483942414175	0.000000000000000	1.989609797407335	0.000000000000000	2.099244348902352	0.000000000000000	1.774509803921569	0.000000000000000	2.173148329099082	0.000000000000000	2.189205914924109	0.000000000000000	2.000814279200052	0.000000000000000	2.277310924369748	0.000000000000000	2.224089635854342	0.000000000000000	1.913360693114455	0.000000000000000	2.071070288580549	0.000000000000000	1.796951338675005	0.000000000000000	1.997882874079864	0.000000000000000	1.513647319392873	0.000000000000000	2.333789329685362	0.000000000000000	2.576118819620872	0.000000000000000	2.107810566086900	0.000000000000000	2.464041430525699	0.000000000000000	2.646472542505374	0.000000000000000
